2026-08-31 21:13:12,331 INFO pyjab init jab
2026-08-31 21:13:12,345 INFO pyjab init jab success
00 | frame            | Sistema Unico Provincial de Administracion de Personal |  | -8,-8,1296,736 | action=False
01 | root pane        |  |  | 0,23,1280,697 | action=False
02 | panel            |  |  | -1,-1,-1,-1 | action=False
02 | layered pane     |  |  | 0,23,1280,697 | action=False
03 | panel            |  |  | 0,23,1280,697 | action=False
04 | frame            |  |  | 0,23,1280,697 | action=False
05 | panel            |  |  | 0,23,1280,697 | action=False
05 | panel            |  |  | 0,23,1280,697 | action=False
06 | panel            |  |  | 0,47,1280,673 | action=False
06 | panel            |  |  | 0,23,1280,24 | action=False
06 | panel            |  |  | 0,47,0,673 | action=False
07 | scroll pane      |  |  | 0,47,1280,673 | action=False
07 | panel            |  |  | 0,23,1280,24 | action=False
08 | viewport         |  |  | 0,47,1265,673 | action=False
08 | scroll bar       |  |  | -1,-1,-1,-1 | action=False
08 | scroll bar       |  |  | 1265,47,15,673 | action=False
08 | panel            |  |  | 1261,23,19,24 | action=False
08 | menu bar         |  |  | 0,23,1261,24 | action=False
09 | desktop pane     |  |  | 0,47,1265,1225 | action=False
09 | menu item        | SIAPE ALT S |  | 15,23,48,24 | action=True
09 | menu             | MILegajo ALT M |  | 63,23,60,24 | action=True
09 | menu             | Personas ALT P |  | 123,23,64,24 | action=True
09 | menu             | Estructuras ALT E |  | 187,23,73,24 | action=True
09 | menu             | Hospitales ALT H |  | 260,23,70,24 | action=True
09 | menu             | Cargos ALT C |  | 330,23,51,24 | action=True
09 | menu             | Autorizante ALT A |  | 381,23,70,24 | action=True
09 | menu             | Novedades ALT N |  | 451,23,73,24 | action=True
09 | menu             | Rec. Médicos ALT R |  | 524,23,84,24 | action=True
09 | menu             | Autoseguro ALT A |  | 608,23,73,24 | action=True
09 | menu             | Exportaciones ALT E |  | 681,23,88,24 | action=True
09 | menu             | Jubilación Ejecutiva ALT J |  | 769,23,118,24 | action=True
09 | menu             | Documentos Administrativos ALT D |  | 887,23,168,24 | action=True
09 | menu             | Trámites ALT T |  | 1055,23,59,24 | action=True
09 | menu             | Régimen Disciplinario ALT R |  | 1114,23,133,24 | action=True
09 | menu             | Mantenimiento ALT M |  | 1247,23,91,24 | action=True
09 | menu             | Ayuda ALT A |  | 1338,23,43,24 | action=True
09 | menu             | Generalidades ALT G |  | 1381,23,92,24 | action=True
09 | menu item        | Salir ALT S |  | 1473,23,39,24 | action=True
09 | menu             | Ventana ALT V |  | 1512,23,55,24 | action=True
10 | internal frame   | . |  | 1,1247,7,25 | action=True
10 | internal frame   |  |  | -1,-1,-1,-1 | action=True
10 | menu item        | Legajo Electrónico nemotécnico L |  | -1,-1,-1,-1 | action=True
10 | separator        |  |  | -1,-1,-1,-1 | action=False
10 | menu item        | Agenda Personal nemotécnico A |  | -1,-1,-1,-1 | action=True
10 | separator        |  |  | -1,-1,-1,-1 | action=False
10 | menu             | Trámites Personales nemotécnico T |  | -1,-1,-1,-1 | action=True
10 | menu             | Novedades nemotécnico N |  | -1,-1,-1,-1 | action=True
10 | separator        |  |  | -1,-1,-1,-1 | action=False
10 | menu             | Autorizaciones nemotécnico A |  | -1,-1,-1,-1 | action=True
10 | menu item        | Preferencias nemotécnico P |  | -1,-1,-1,-1 | action=True
10 | menu item        | Mi CV nemotécnico M |  | -1,-1,-1,-1 | action=True
10 | menu item        | Administración nemotécnico A |  | -1,-1,-1,-1 | action=True
10 | menu item        | Antigüedad nemotécnico A |  | -1,-1,-1,-1 | action=True
10 | menu item        | Historial Licencias nemotécnico H |  | -1,-1,-1,-1 | action=True
10 | menu item        | Currículum Vitae nemotécnico C |  | -1,-1,-1,-1 | action=True
10 | menu item        | Legajo Personal nemotécnico L |  | -1,-1,-1,-1 | action=True
10 | menu item        | Administración nemotécnico A |  | -1,-1,-1,-1 | action=True
10 | menu item        | Transformación nemotécnico T |  | -1,-1,-1,-1 | action=True
10 | menu             | Consultas y Listados nemotécnico s |  | -1,-1,-1,-1 | action=True
10 | menu item        | Administración nemotécnico A |  | -1,-1,-1,-1 | action=True
10 | menu item        | Administración nemotécnico A |  | -1,-1,-1,-1 | action=True
10 | separator        |  |  | -1,-1,-1,-1 | action=False
10 | menu item        | Situación de Revista nemotécnico S |  | -1,-1,-1,-1 | action=True
10 | menu item        | Asignación y Cambio de Legajo nemotécnico A |  | -1,-1,-1,-1 | action=True
10 | menu item        | Historial de Cargos nemotécnico H |  | -1,-1,-1,-1 | action=True
10 | menu item        | Asignar Exptes. a un Expediente Principal nemotécnico A |  | -1,-1,-1,-1 | action=True
10 | menu item        | Plan de Retiro Voluntario  nemotécnico P |  | -1,-1,-1,-1 | action=True
10 | separator        |  |  | -1,-1,-1,-1 | action=False
10 | menu item        | Renovación - Designación nemotécnico R |  | -1,-1,-1,-1 | action=True
10 | menu item        | Régimen Modular nemotécnico R |  | -1,-1,-1,-1 | action=True
10 | menu item        | Renovación de Planta Temporaria nemotécnico R |  | -1,-1,-1,-1 | action=True
10 | menu item        | Actualización de Contratos. Planta Temporaria nemotécnico A |  | -1,-1,-1,-1 | action=True
10 | separator        |  |  | -1,-1,-1,-1 | action=False
10 | menu item        | Confirmación de Cargos. Presupuesto Promulgado nemotécnico C |  | -1,-1,-1,-1 | action=True
10 | menu             | Consultas y Listados nemotécnico C |  | -1,-1,-1,-1 | action=True
10 | menu item        | Bandeja de Autorizaciones nemotécnico B |  | -1,-1,-1,-1 | action=True
10 | menu item        | Gestión Integral de Asistencia nemotécnico G |  | -1,-1,-1,-1 | action=True
10 | menu item        | Parte Diario de Novedades nemotécnico P |  | -1,-1,-1,-1 | action=True
10 | menu item        | Resumen Mensual de Novedades nemotécnico R |  | -1,-1,-1,-1 | action=True
10 | separator        |  |  | -1,-1,-1,-1 | action=False
10 | menu item        | Ausencias Eventuales nemotécnico A |  | -1,-1,-1,-1 | action=True
10 | menu item        | Comisiones nemotécnico C |  | -1,-1,-1,-1 | action=True
10 | menu item        | Corte de Licencia Anual nemotécnico C |  | -1,-1,-1,-1 | action=True
10 | menu item        | Corte/Anulación Comisiones nemotécnico C |  | -1,-1,-1,-1 | action=True
10 | menu item        | Licencias y Permisos nemotécnico L |  | -1,-1,-1,-1 | action=True
10 | menu item        | Carpetas Médicas nemotécnico C |  | -1,-1,-1,-1 | action=True
10 | menu item        | Carpetas Médicas Pendientes nemotécnico C |  | -1,-1,-1,-1 | action=True
10 | menu item        | Permisos x Horario nemotécnico P |  | -1,-1,-1,-1 | action=True
10 | menu item        | Cambios de Horario nemotécnico C |  | -1,-1,-1,-1 | action=True
10 | menu item        | Horario Compensatorio nemotécnico H |  | -1,-1,-1,-1 | action=True
10 | menu item        | Personas a mi Cargo nemotécnico P |  | -1,-1,-1,-1 | action=True
10 | menu             | Consultas sobre su Personal nemotécnico C |  | -1,-1,-1,-1 | action=True
10 | menu             | Biometría nemotécnico B |  | -1,-1,-1,-1 | action=True
10 | menu item        | Novedades de Ausentismo nemotécnico N |  | -1,-1,-1,-1 | action=True
10 | menu item        | Solicitud de Carpetas Médicas nemotécnico S |  | -1,-1,-1,-1 | action=True
10 | menu item        | Carpetas Médicas Pedidas y Otorgadas nemotécnico C |  | -1,-1,-1,-1 | action=True
10 | menu item        | Administración de Autorizantes por Estructuras nemotécnico A |  | -1,-1,-1,-1 | action=True
10 | menu item        | Administración de RA / RAP nemotécnico A |  | -1,-1,-1,-1 | action=True
10 | menu item        | Administración de Responsables nemotécnico A |  | -1,-1,-1,-1 | action=True
10 | menu item        | Consulta de Histórico de Autorizantes nemotécnico C |  | -1,-1,-1,-1 | action=True
10 | menu item        | Habilitación de Partes Diarios nemotécnico H |  | -1,-1,-1,-1 | action=True
10 | menu item        | Informe de Partes Diarios nemotécnico I |  | -1,-1,-1,-1 | action=True
10 | menu item        | Resumen Mensual de Novedades nemotécnico R |  | -1,-1,-1,-1 | action=True
10 | menu item        | Resumen Mensual de Comisiones Y Bol.Sal.Of. nemotécnico R |  | -1,-1,-1,-1 | action=True
10 | menu item        | Resumen de Envíos de Partes nemotécnico R |  | -1,-1,-1,-1 | action=True
10 | menu item        | Tiempo Acumulado nemotécnico T |  | -1,-1,-1,-1 | action=True
10 | menu item        | Bajas Preventivas nemotécnico B |  | -1,-1,-1,-1 | action=True
10 | menu item        | Reintegro Bajas Preventivas nemotécnico R |  | -1,-1,-1,-1 | action=True
10 | menu item        | Licencias por Expediente nemotécnico L |  | -1,-1,-1,-1 | action=True
10 | menu item        | Horario Administrativo nemotécnico H |  | -1,-1,-1,-1 | action=True
10 | menu item        | Planillas de Asistencia nemotécnico P |  | -1,-1,-1,-1 | action=True
10 | menu item        | Resumen de Asistencias y Novedades nemotécnico R |  | -1,-1,-1,-1 | action=True
10 | separator        |  |  | -1,-1,-1,-1 | action=False
10 | menu             | Consultas y Listados nemotécnico C |  | -1,-1,-1,-1 | action=True
10 | menu             | Preocupacional nemotécnico P |  | -1,-1,-1,-1 | action=True
10 | menu item        | Examenes Medicos nemotécnico E |  | -1,-1,-1,-1 | action=True
10 | menu             | Accidentes nemotécnico A |  | -1,-1,-1,-1 | action=True
10 | menu item        | Consultas a Exportar nemotécnico C |  | -1,-1,-1,-1 | action=True
10 | menu item        | Administración del Hospital nemotécnico A |  | -1,-1,-1,-1 | action=True
10 | menu item        | Proponer agentes nemotécnico P |  | -1,-1,-1,-1 | action=True
10 | menu item        | Administración nemotécnico A |  | -1,-1,-1,-1 | action=True
10 | menu item        | Nuevo Trámite nemotécnico N |  | -1,-1,-1,-1 | action=True
10 | menu item        | Afectar agentes a un trámite - Trámite masivo nemotécnico A |  | -1,-1,-1,-1 | action=True
10 | menu item        | Totales nemotécnico T |  | -1,-1,-1,-1 | action=True
10 | menu item        | Sumarios Administrativos nemotécnico u |  | -1,-1,-1,-1 | action=True
10 | menu item        | Regimen Disciplinario nemotécnico R |  | -1,-1,-1,-1 | action=True
10 | menu item        | Días de sanción por agente nemotécnico D |  | -1,-1,-1,-1 | action=True
10 | menu             | Consultas y Listados nemotécnico C |  | -1,-1,-1,-1 | action=True
10 | menu             | Regimen Disciplinario nemotécnico R |  | -1,-1,-1,-1 | action=True
10 | menu item        | Manuales y Videos nemotécnico M |  | -1,-1,-1,-1 | action=True
10 | menu item        | Informe de Destinos nemotécnico I |  | -1,-1,-1,-1 | action=True
10 | menu item        | Informe de Lic.x Exp/Sanciones nemotécnico I |  | -1,-1,-1,-1 | action=True
10 | menu item        | Cascada nemotécnico C |  | -1,-1,-1,-1 | action=True
10 | menu item        | Mosaico Horizontal nemotécnico H |  | -1,-1,-1,-1 | action=True
10 | menu item        | Mosaico Vertical nemotécnico M |  | -1,-1,-1,-1 | action=True
10 | separator        |  |  | -1,-1,-1,-1 | action=False
10 | panel            |  |  | -1,-1,-1,-1 | action=False
11 | panel            |  |  | 4,1271,1,-2 | action=False
11 | panel            |  |  | -1,-1,-1,-1 | action=False
11 | menu item        | Solicitud de Licencias nemotécnico S |  | -1,-1,-1,-1 | action=True
11 | menu item        | Solicitudes Pendientes de Resolución nemotécnico S |  | -1,-1,-1,-1 | action=True
11 | menu item        | Permanencia por Reloj nemotécnico P |  | -1,-1,-1,-1 | action=True
11 | menu item        | Novedades de Asistencia nemotécnico N |  | -1,-1,-1,-1 | action=True
11 | menu item        | Mi Planilla de Asistencia nemotécnico M |  | -1,-1,-1,-1 | action=True
11 | menu item        | Personas a mi Cargo nemotécnico P |  | -1,-1,-1,-1 | action=True
11 | menu item        | Mi Responsable de Asistencia nemotécnico M |  | -1,-1,-1,-1 | action=True
11 | menu item        | Personas por Estructura nemotécnico P |  | -1,-1,-1,-1 | action=True
11 | menu item        | Plantel Nominado nemotécnico N |  | -1,-1,-1,-1 | action=True
11 | menu item        | Plantel Innominado nemotécnico I |  | -1,-1,-1,-1 | action=True
11 | menu item        | Plantel Nominado por Acto de Nombramiento nemotécnico A |  | -1,-1,-1,-1 | action=True
11 | menu item        | Pantel Temporario Designado nemotécnico P |  | -1,-1,-1,-1 | action=True
11 | menu item        | Plantel Designado Ley 10592 nemotécnico P |  | -1,-1,-1,-1 | action=True
11 | menu item        | Plantel Nominado Reservado nemotécnico R |  | -1,-1,-1,-1 | action=True
11 | separator        |  |  | -1,-1,-1,-1 | action=False
11 | menu item        | Agentes por Partido nemotécnico A |  | -1,-1,-1,-1 | action=True
11 | menu item        | Agentes sin Lugar de Prestacion de Servicio nemotécnico A |  | -1,-1,-1,-1 | action=True
11 | menu item        | Bajas Preventivas Sin Acto nemotécnico B |  | -1,-1,-1,-1 | action=True
11 | menu item        | Cantidad Total Agentes nemotécnico C |  | -1,-1,-1,-1 | action=True
11 | separator        |  |  | -1,-1,-1,-1 | action=False
11 | menu item        | Resumen Situación de Organismos nemotécnico R |  | -1,-1,-1,-1 | action=True
11 | separator        |  |  | -1,-1,-1,-1 | action=False
11 | menu item        | Estadísticas nemotécnico E |  | -1,-1,-1,-1 | action=True
11 | menu item        | Novedades de Ausentismo nemotécnico N |  | -1,-1,-1,-1 | action=True
11 | menu item        | Planilla de Asistencia nemotécnico P |  | -1,-1,-1,-1 | action=True
11 | separator        |  |  | -1,-1,-1,-1 | action=False
11 | menu item        | Fichadas de Agentes a Cargo nemotécnico F |  | -1,-1,-1,-1 | action=True
11 | menu item        | Gestión del Tiempo nemotécnico G |  | -1,-1,-1,-1 | action=True
11 | menu item        | Irregularidades nemotécnico I |  | -1,-1,-1,-1 | action=True
11 | menu item        | Fichadas de Agentes nemotécnico F |  | -1,-1,-1,-1 | action=True
11 | separator        |  |  | -1,-1,-1,-1 | action=False
11 | menu             | Administración nemotécnico A |  | -1,-1,-1,-1 | action=True
11 | menu item        | Resumen Diario de Novedades nemotécnico R |  | -1,-1,-1,-1 | action=True
11 | menu item        | Personas con Novedades nemotécnico P |  | -1,-1,-1,-1 | action=True
11 | menu item        | Personas - Cantidad de Ausencias nemotécnico P |  | -1,-1,-1,-1 | action=True
11 | menu item        | Ausentismo nemotécnico A |  | -1,-1,-1,-1 | action=True
11 | menu item        | Listado de Inasistencias nemotécnico L |  | -1,-1,-1,-1 | action=True
